Standard Title,Standard Type,Standard Info Latest,Value,Edition Date,Standard Infotyp
"Product Category Rules for Part B: Insulated Metal Panels, Metal Composite Panels, and Metal Cladding: Roof and Wall Panels",(Ed. 2),UL Environment,10010- 5,"October 23, 2018",N/A
Product Category Rules (PCR) Guidance for Building-Related Products and Services Part B: Plumbing Vessel EPD Requirements(Version 2.0),(Ed. 3),UL Environment,10010- 6,"June 07, 2018",N/A
Product Category Rules (PCR) Guidance for Building-Related Products and Services Part B: Flooring EPD Requirements,(Ed. 1),UL Environment,10010- 7,"September 28, 2018",N/A
Addednum for the Product Category Rules (PCR) Guidance for Building-Related Products and Services Part B: Requirements on the EPD for Bathroom Fittings and Showers,(Ed. 1),UL Environment,10010- 8,"February 20, 2018",N/A
Product Category Rule (PCR) Guidance for Building-Related Products and Services Part B: Structural and Architectural Wood Products EPD Requirements (Version 1.1),(Ed. 1),UL Environment,10010- 9,"October 21, 2019",N/A
Product Category Rule (PCR) Guidance for Building-Related Products and Services Part B: Wall and Door Protection EPD Requirements,(Ed. 1),UL Environment,10010- 10,"May 22, 2019",N/A
"Product Category Rules (PCR) Guidance for Building Related Products and Services Part B:
Asphalt Shingles, Built-up Asphalt Membrane Roofing and Modified Bituminous Membrane Roofing EPD Requirements",(Ed. 3),UL Environment,10010- 11,"May 24, 2021",N/A
"Product Category Rules for Building-Related Products and Services Part B: Metal Ceiling and
Interior Wall Panel System EPD Requirements",(Ed. 1),UL Environment,10010- 12,"January 15, 2020",N/A
Product Category Rules for Building-Related Products and Services Part B: Builders Hardware EPD Requirements,(Ed. 1),UL Environment,10010- 13,"November 15, 2019",N/A
Product Category Rule (PCR) Guidance for Building-Related Products and Services Part B: Requirements on the EPD for Products of aluminium and aluminium alloys,(Ed. 1),UL Environment,10010- 14,"July 01, 2014",N/A
Product Category Rule (PCR) Guidance for Building-Related Products and Services Part B: Requirements on the EPD for Building metals,(Ed. 1),UL Environment,10010- 15,"August 12, 2014",N/A
Product Category Rule (PCR) Guidance for Building-Related Products and Services Part B: Requirements on the EPD Coatings with organic binders,(Ed. 1),UL Environment,10010- 16,"July 30, 2014",N/A
Product Category Rule (PCR) Guidance for Building-Related Products and Services Part B: Requirements on the EPD for Curtain Walling,(Ed. 1),UL Environment,10010- 17,"July 01, 2014",N/A
Product Category Rule (PCR) Guidance for Building-Related Products and Services Part B: Requirements on the EPD for Metal Ceilings,(Ed. 1),UL Environment,10010- 18,"August 29, 2014",N/A
Product Category Rule (PCR) for preparing an environmental product declaration (EPD) for PCR: IBU Part B: Coatings with Organic Binders and EDF EPD for Paints,(Ed. 1),UL Environment,10010- 19,"October 30, 2014",N/A
Product Category Rule (PCR) Guidance for Building-Related Products and Services Part B: Requirements on the EPD for Technical Textiles,(Ed. 1),UL Environment,10010- 20,"December 16, 2014",N/A
Product Category Rule (PCR) Guidance for Building-Related Products and Services Part B: Requirements on the EPD for thin walled profiles and profiled panels of metal,(Ed. 1),UL Environment,10010- 21,"July 30, 2014",N/A
Product Category Rule (PCR) Guidance for Building-Related Products and Services Part B: Piping systems for use for sewage and storm water (under gravity),(Ed. 1),UL Environment,10010- 22,"June 10, 2014",N/A
Product Category Rule (PCR) Guidance for Building-Related Products and Services Part B: Wire and Cable,(Ed. 1),UL Environment,10010- 23,"April 01, 2014",N/A
Product Category Rule (PCR) Guidance for Building-Related Products and Services Part B: Engineered Stone ,(Ed. 1),UL Environment,10010- 24,"October 22, 2012",N/A
Product Category Rule (PCR) for Preparing an Environment Product Declaration (EPD) for Product Group Cladding Systems Products,(Ed. 2),UL Environment,10010- 25,"April 13, 2021",N/A
Product Category Rule (PCR) Guidance for Building-Related Products and Services Part B: Non-Metal Ceiling Panel EPD Requirements,(Ed. 2),UL Environment,10010- 26,"April 13, 2021",N/A
"Product Category Rule (PCR) Guidance for Building-Related Products and Services Part B: Commercial Steel Doors and Steel Frames EPD
Requirements",(Ed. 1),UL Environment,10010- 27,"September 01, 2020",N/A
Product Category Rule (PCR) Guidance for Building-Related Products and Services Part B: Kitchen and Bath Fixture Fittings and Accessory Products EPD Requirements,(Ed. 1),UL Environment,10010- 28,"October 08, 2020",N/A
Product Category Rules for Part B: Concrete Masonry and Segmental Concrete Paving Product EPD Requirements (Version 1.1),(Ed. 2),UL Environment,10010- 29,"March 01, 2022",N/A
Product Category Rule (PCR) Guidance for Building-Related Products and Services Part B: Joint Compound EPD Requirements,(Ed. 1),UL Environment,10010- 30,"August 03, 2016",N/A
Product Category Rule (PCR) Guidance for Building-Related Products and Services Part B: Processed Glass EPD Requirements,(Ed. 1),UL Environment,10010- 31,"August 17, 2016",N/A
"Product Category Rule (PCR) Guidance for Building-Related Products and Services Part B: Building and Construction Sealant EPD
Requirements",(Ed. 1),UL Environment,10010- 32,"September 22, 2016",N/A
Product Category Rules for preparing an environmental product declaration (EPD): ASTM PCR for Single Ply Roofing Membranes,(Ed. 1),UL Environment,10010- 33,"May 08, 2019",N/A
Product Category Rule (PCR) Guidance for Building-Related Products and Services Part B: Designated Steel Construction Product EPD Requirements	,(Ed. 2),UL Environment,10010- 34,"August 26, 2020",N/A
Product Category Rule (PCR) Guidance for Building-Related Products and Services Part B: Roof Cover Protection Board EPD Requirements,(Ed. 1),UL Environment,10010- 36,"November 02, 2021",N/A
"PCR for Construction Product-Related Products and Services: Part B Expanded Shale, Clay, and Slate Lightweight Aggregates EPD Requirements",(Ed. 2),UL Environment,10010- 37,"January 25, 2022",N/A
PCR for Construction Product-Related Products and Services Part B: Aluminum Construction Product EDP Requirements ,(Ed. 1),UL Environment,10010- 38,"February 16, 2022",N/A
"PCR for Construction Product-Related Products and Services Part B: Cement-based Grout, Adhesive Mortar and Self-Leveling Underlayment EPD Requirements",(Ed. 1),UL Environment,10010- 39,"July 25, 2022",N/A
CAN/UL Standard for Consumer Product Safety - Guidelines for Suppliers / Sécurité des produits de consommation  - Lignes directrices pour les fournisseurs,(Ed. 1),UL,10377,"April 28, 2017",Type: uliso
Recommended Practice for Certificates for Equipment for Hazardous (Classified) Locations,(Ed. 2),UL,120002,"March 03, 2022",Type: ulstd
Standard for Definitions and Information Pertaining to Electrical Equipment in Hazardous Locations,(Ed. 1),UL,120101,"December 03, 2019",Type: ulstd
"Recommendations for the Preparation, Content, and Organization of Intrinsic Safety Control Drawings",(Ed. 1),UL,120202,"September 08, 2014",Type: ulisa
"Nonincendive Electrical Equipment for Use  in Class I and II, Division 2 and Class III, Divisions 1 and 2 Hazardous (Classified) Locations",(Ed. 9),UL,121201,"September 15, 2017",Type: ulcsa
"Recommended Practice for Portable Electronic Products Suitable for Use in Class I and II, Division 2, Class I, Zone 2 and Class III, Division 2 and 2 Hazardous (Classified) Locations",(Ed. 2),UL,121203,"January 14, 2021",Type: ulstd
Guide for Use of Detectors for Flammable Gases,(Ed. 1),UL,121303,"September 09, 2020",Type: ulfm
"General Requirements for Electrical Ignition Systems for Internal Combustion Engines in Class I, Division 2 or Zone 2, Hazardous (Classified) Locations",(Ed. 1),UL,122001,"August 29, 2014",Type: ulisa
Requirements for Process Sealing Between Electrical Systems and Flammable or Combustible Process Fluids,(Ed. 3),UL,122701,"May 12, 2017",Type: ulstd
Requirements for Process Sealing Between Electrical Systems and Flammable or Combustible Process Fluids,(Ed. 4),UL,122701,"September 29, 2022",Type: ulstd
"Personal Flotation Devices - Part 3: Lifejackets, Performance Level 150 - Safety Requirements",(Ed. 1),UL,12402- 3,"August 25, 2023",Type: csdsproposal
"ANSI/CAN/UL Personal Flotation Devices - Part 4: Lifejackets, Performance Level 100 - Safety Requirements / Équipements individuels de flottabilité - partie 4 : gilets de sauvetage, niveau de performance 100 - exigences de sécurité",(Ed. 1),UL,12402- 4,"July 09, 2020",Type: uliso
Personal Flotation Devices - Part 5: Buoyancy Aids (Level 50) - Safety Requirements / Équipements individuels de flottabilité/Vêtements de flottaison individuels - Partie 5 : Aides à la flottabilité (niveau 50) - Exigences de sécurité,(Ed. 1),UL,12402- 5,"December 31, 2015",Type: uliso
Personal Flotation Devices - Part 6: Special Application Lifejackets and Buoyancy Aids - Safety Requirements and Additional Test Methods / Équipements individuels de flottabilité / Vêtements de flottaison individuels - Partie 6: Gilets de sauvetage et aides à la flottabilité pour usages spéciaux - Exigences de sécurité et méthodes d'essai complémentaires,(Ed. 1),UL,12402- 6,"August 24, 2023",Type: uliso
Personal Flotation Devices - Part 9: Test Methods / Équipements individuels de flottabilité/ Vêtements de flottaison individuels - Partie 9 : Méthodes d'essai,(Ed. 1),UL,12402- 9,"December 31, 2015",Type: uliso
"ANSI/CAN/UL Standard for Immersion suits - Part 2: Abandonment Suits, Requirements Including Safety / Combinaisons d’immersion - Partie 2 :
Combinaisons d’abandon, exigences,
y compris la sécurité",(Ed. 1),UL,15027- 2,"July 27, 2020",Type: uliso
ANSI/CAN/UL Standard for Immersion Suits - Part 3: Test Methods / Combinaisons de protection thermique en cas d'immersion - Partie 3 : Méthodes d'essai,(Ed. 1),UL,15027- 3,"September 08, 2020",Type: uliso
Methodology for Marketing Claim Verification: Product Repairability Rating (Bronze/Silver/Gold/Platinum/Diamond),(Ed. 1),UL,1590,"July 03, 2023",N/A
Design Guideline for Promoting Circadian Entrainment with Light for Day-Active People,(Ed. 1),Underwriters Laboratories Inc,24480,"December 19, 2019",N/A
Standard for Rotating Electrical Machines - Part 1: Rating and Performance,(Ed. 2),UL,60034- 1,"September 18, 2018",Type: uliec
Rotating electrical machines - Part 2-1: Standard methods for determining losses and efficiency from tests (excluding machines for traction vehicles),(Ed. 1),UL,60034- 2-1,"February 21, 2017",Type: uliec
Rotating Electrical Machines - Part 5: Degrees of Protection Provided by the Integral Design of Rotating Electrical Machines (IP Code) - Classification,(Ed. 1),UL,60034- 5,"January 16, 2019",Type: uliec
"Standard for Audio, Video and Similar Electronic Apparatus - Safety Requirements",(Ed. 8),UL,60065,"September 30, 2015",Type: uliec
Explosive Atmospheres - Part 0: Equipment - General Requirements,(Ed. 6),UL,60079- 0,"July 26, 2013",Type: ulisaiec
Explosive Atmospheres - Part 0: Equipment - General Requirements,(Ed. 7),UL,60079- 0,"March 26, 2019",Type: uliec
Explosive Atmospheres - Part 1: Equipment Protection by Flameproof Enclosures “d”,(Ed. 7),UL,60079- 1,"September 18, 2015",Type: uliec
Explosive Atmospheres - Part 2: Equipment Protection by Pressurized Enclosure “p”,(Ed. 6),UL,60079- 2,"June 02, 2017",Type: uliec
Explosive Atmospheres - Part 5: Equipment protection by powder filling 'q',(Ed. 4),UL,60079- 5,"April 29, 2016",Type: uliec
Explosive atmospheres - Part 6: Equipment protection by oil immersion 'o',(Ed. 4),UL,60079- 6,"April 29, 2016",Type: uliec
Electrical Apparatus for Explosive Gas Atmospheres - Part 7: Increased Safety 'e',(Ed. 4),UL,60079- 7,"October 15, 2008",Type: ulisaiec
Explosive Atmospheres - Part 7: Equipment protection by increased safety 'e',(Ed. 5),UL,60079- 7,"February 24, 2017",Type: uliec
"Explosive Atmospheres - Part 11: Equipment Protection by Intrinsic Safety ""i""",(Ed. 6),UL,60079- 11,"February 15, 2013",Type: ulisaiec
Explosive Atmospheres - Part 13: Equipment Protection by Pressurized Room ,(Ed. 2),UL,60079- 13,"June 27, 2022",Type: uliec
"Electrical Apparatus for Explosive Gas Atmospheres - Part 15: Construction, Test and Marking of Type of Protection 'n' Electrical Apparatus",(Ed. 4),UL,60079- 15,"February 15, 2013",Type: ulisaiec
"Explosive atmospheres - Part 15: Equipment protection by type of protection ""n""",(Ed. 5),UL,60079- 15,"April 07, 2020",Type: uliec
Explosive Atmospheres - Part 17: Electrical Installations Inspection and Maintenance,(Ed. 5),UL,60079- 17,"May 12, 2017",Type: uliec
Explosive atmospheres - Part 18: Equipment protection by encapsulation “m”,(Ed. 4),UL,60079- 18,"December 14, 2015",Type: uliec
Explosive Atmospheres - Part 25: Intrinsically Safe Electrical Systems,(Ed. 2),UL,60079- 25,"December 02, 2011",Type: ulisaiec
Explosive Atmospheres - Part 26: Equipment with Equipment Protection Level (EPL) Ga,(Ed. 3),UL,60079- 26,"April 21, 2017",Type: uliec
Explosive Atmospheres - Part 28: Protection of Equipment and Transmission Systems Using Optical Radiation,(Ed. 2),UL,60079- 28,"September 15, 2017",Type: uliec
Explosive Atmospheres - Part 29-1: Gas Detectors - Performance Requirements of Detectors for Flammable Gases,(Ed. 2),UL,60079- 29-1,"May 31, 2019",Type: ulfm
"Explosive Atmospheres - Part 29-2: Gas Detectors - Selection, Installation, Use and Maintenance of Detectors for Flammable Gases and Oxygen",(Ed. 2),UL,60079- 29-2,"October 15, 2018",Type: ulfm
Explosive Atmospheres - Part 29-4: Gas Detectors - Performance Requirements of Open Path Detectors for Flammable Gases ,(Ed. 1),UL,60079- 29-4,"August 24, 2018",Type: ulfm
Explosive Atmospheres - Part 30-1: Electrical Resistance Trace Heating - General and Testing Requirements,(Ed. 1),UL,60079- 30-1,"May 05, 2017",Type: uliec
"Explosive Atmospheres - Part 31: Equipment Dust Ignition Protection by Enclosure ""t""",(Ed. 2),UL,60079- 31,"June 12, 2015",Type: ulisaiec
"Explosive Atmospheres - Part 33: Equipment Protection by Special Protection ""s""",(Ed. 1),UL,60079- 33,"May 25, 2021",Type: uliec
Recommended Practice for  Explosive Atmospheres - Part 46: Equipment Assemblies,(Ed. 1),UL,60079- 46,"July 22, 2022",Type: uliec
Explosive Atmospheres - Part 47: Equipment Protection by 2-Wire Intrinsically Safe Ethernet Concept (2-WISE),(Ed. 1),UL,60079- 47,"March 15, 2022",Type: uliec
Primary Batteries - Part 4: Safety of Lithium Batteries,(Ed. 1),UL,60086- 4,"May 22, 2015",Type: uliec
Appliance Couplers for Household and Similar General Purposes - Part 1: General Requirements,(Ed. 2),UL,60320- 1,"May 12, 2011",Type: ulcsaiec
Appliances Couplers for Household and Similar General Purposes - Part 1: General Requirements,(Ed. 3),UL,60320- 1,"February 15, 2019",Type: ulcsaiec
"Appliance Couplers for Household and
Similar General Purposes - Part 3:
Standard Sheets and Gauges",(Ed. 1),UL,60320- 3,"February 15, 2019",Type: ulcsaiec
"Standard for Safety of Household and Similar Electrical Appliances, Part 1:  General Requirements",(Ed. 4),UL,60335- 1,"March 05, 2004",Type: uliec
"Standard for Safety of Household and Similar Electrical Appliances, Part 1:  General Requirements",(Ed. 5),UL,60335- 1,"October 31, 2011",Type: ulcsaanceiec
"Safety of Household and Similar Appliances, Part 1: General Requirements",(Ed. 6),UL,60335- 1,"October 31, 2016",Type: ulcsaiec
"Standard for Safety of Household and Similar Electrical Appliances, Part 2:  Particular Requirements for Electric Irons",(Ed. 5),UL,60335- 2-3,"July 14, 2004",Type: uliec
Household and Similar Electrical Appliances - Safety - Part 2-3: Particular Requirements for Electric Irons,(Ed. 6),UL,60335- 2-3,"September 14, 2023",Type: uliec
"Standard for Safety for Household and Similar Electrical Appliances, Part 2:  Particular Requirements for Shavers, Hair Clippers, and Similar Appliances",(Ed. 6),UL,60335- 2-8,"June 25, 2018",Type: uliec
"Subject 60335-2-14 Household and Similar Electrical Appliances, Part 2: Particular Requirements for for Kitchen Machines",(Ed. 4),UL,60335- 2-14,"April 24, 2003",N/A
Subject 60335-2-14,(Ed. 1),UL,60335- 2-14,"May 25, 2004",N/A
"Safety Requirements for Household and Similar Electrical Appliances, Part 2: Particular Requirements for Refrigerating Appliances, Ice-Cream Appliances and Ice-Makers",(Ed. 2),UL,60335- 2-24,"April 28, 2017",Type: ulcsaiec
"Household and Similar Electrical Appliances - Safety - Part 2-24: Particular Requirements for Refrigerating Appliances, Ice-Cream Appliances and Ice-Makers",(Ed. 3),UL,60335- 2-24,"July 29, 2022",Type: ulcsaiec
Subject for Household and Similar Electrical Appliances,(Ed. 1),UL,60335- 2-25,"June 18, 1999",N/A
"Household and similar electrical appliances - Safety - Part 2-29: Particular
requirements for battery chargers",(Ed. 1),UL,60335- 2-29,"October 12, 2020",Type: ulcsaiec
Subject 60335-2-32,(Ed. 1),UL,60335- 2-32,"May 25, 2004",N/A
Household and Similar Electrical Appliances - Safety - Part 2-34: Particular Requirements for Motor-Compressors,(Ed. 6),UL,60335- 2-34,"November 03, 2017",Type: ulcsaiec
"Household And Similar Electrical Appliances - Safety - Part 2-40: Particular Requirements for Electrical Heat Pumps, Air-Conditioners and Dehumidifiers",(Ed. 3),UL,60335- 2-40,"November 01, 2019",Type: ulcsaiec
"Household and Similar Electrical Appliances - Safety - Part 2-40: Particular Requirements for Electrical Heat Pumps, Air-Conditioners and Dehumidifiers",(Ed. 4),UL,60335- 2-40,"December 15, 2022",Type: ulcsaiec
Household and similar electrical appliances - Safety - Part 2-52: Particular requirements for oral hygiene appliances,(Ed. 1),UL,60335- 2-52,"April 24, 2020",Type: uliec
"Household and Similar Electrical Appliances - Safety - Part 2-67: Particular Requirements for Floor Treatment Machines, for Commercial Use",(Ed. 1),UL,60335- 2-67,"December 22, 2017",Type: ulcsaiec
"Household and Similar Electrical Appliances - Safety - Part 2-67: Particular Requirements for Floor Treatment Machines, for Commercial Use",(Ed. 2),UL,60335- 2-67,"June 04, 2021",Type: ulcsaiec
"Standard for Household And Similar Electrical Appliances - Safety - Part 2-68: Particular Requirements for Spray Extraction Machines, for Commercial Use",(Ed. 1),UL,60335- 2-68,"May 08, 2020",Type: ulcsaiec
"Household and Similar Electrical Appliances - Safety - Part 2-69: Particular requirements for wet and dry vacuum cleaners, including power brush, for commercial use	",(Ed. 1),UL,60335- 2-69,"March 25, 2022",Type: ulcsaiec
"Household and Similar Electrical Appliances - Safety - Part 2-72: Particular Requirements for Floor Treatment Machines With or Without Traction Drive, for Commercial Use",(Ed. 1),UL,60335- 2-72,"September 15, 2017",Type: ulcsaiec
"Household and Similar Electrical Appliances - Safety - Part 2-72: Particular Requirements for Floor Treatment Machines With or Without Traction Drive, for Commercial Use",(Ed. 2),UL,60335- 2-72,"June 04, 2021",Type: ulcsaiec
Household and Similar Electrical Appliances - Safety - Part 2-79: Particular Requirements for High Pressure Cleaners and Steam Cleaners,(Ed. 1),UL,60335- 2-79,"January 14, 2016",Type: uliec
Subject 60335-2-82,(Ed. 1),UL,60335- 2-82,"May 25, 2004",N/A
"Household and Similar Electrical Appliances -
Safety - Part 2-89: Particular Requirements for Commercial Refrigerating Appliances with an Incorporated or Remote Refrigerant Unit or Compressor",(Ed. 1),UL,60335- 2-89,"April 30, 2021",N/A
Standard for Safety for Household and Similar Electrical Appliances - Safety - Part 2-89: Particular Requirements for Commercial Refrigerating Appliances and Ice-Makers with an Incorporated or Remote Refrigerant Unit or Motor-Compressor,(Ed. 2),UL,60335- 2-89,"October 27, 2021",Type: ulcsaiec
Household and similar electrical appliances - Safety - Part 2-113: Particular requirements for cosmetic and beauty care appliances incorporating lasers and intense light sources,(Ed. 1),UL,60335- 2-113,"January 27, 2023",Type: uliec
Standard for Safety for Household and Similar Electrical Appliances: Particular Requirements for Electrically Powered Pool Lifts,(Ed. 1),UL,60335- 2-1000,"September 29, 2017",Type: ulstd
Outline of Investigation for Robotic Germicidal Equipment,(Ed. 2),UL,60335- 2-2019,"March 21, 2022",Type: outline
Safety Requirements for Fixed Capacitors for Use in Electronic Equipment - Part 14: Sectional Specification: Fixed Capacitors for Electromagnetic Interference Suppression and Connection to the Supply Mains,(Ed. 2),UL,60384- 14,"July 11, 2014",Type: uliec
"Medical Electrical Equipment, Part 1: General Requirements for Safety",(Ed. 1),UL,60601- 1,"April 25, 2003",Type: uliec
Standard for Thermal-Links - Requirements and Application Guide,(Ed. 4),UL,60691,"June 30, 2016",Type: uleciaiec
Outline of Investigation for Circuit Interrupters with Fire Extinguishing Agent for Use in Electrical Appliances and Components,(Ed. 1),UL,60692,"June 13, 2016",Type: outline
Automatic Electrical Controls for Household and Similar Use; Part 1: General Requirements,(Ed. 4),UL,60730- 1,"October 19, 2009",Type: uliec
Automatic Electrical Controls - Part 1: General Requirements,(Ed. 5),UL,60730- 1,"August 03, 2016",Type: uliec
Standard for Automatic Electrical Controls for Household and Similar Use; Part 2: Particular Requirements for Thermal Protectors for Ballasts for Tubular Fluorescent Lamps,(Ed. 2),UL,60730- 2-3,"June 28, 2013",Type: uliec
Standard for Automatic Electrical Controls for Household and Similar Use; Part 2: Particular Requirements for Thermal Motor Protectors for Motor-Compressors of Hermetic and Semi-Hermetic Type,(Ed. 1),UL,60730- 2-4,"January 17, 2003",Type: uliec
Standard for Automatic Electrical Controls for Household and Similar Use; Part 2: Particular Requirements for Thermal Motor Protectors for Motor-Compressors of Hermetic and Semi-Hermetic Type,(Ed. 2),UL,60730- 2-4,"November 27, 2013",N/A
Subject 60730-2-5,(Ed. 3),UL,60730- 2-5,"January 30, 2014",Type: ulcsaiecisa
Automatic Electrical Controls - Part 2-5: Particular Requirements for Automatic Electrical Burner Control Systems,(Ed. 4),UL,60730- 2-5,"July 29, 2022",Type: ulcsaiec
Standard for Automatic Electrical Controls for Household and Similar Use; Part 2: Particular Requirements for Automatic Electrical Pressure Sensing Controls Including Mechanical Requirements,(Ed. 3),UL,60730- 2-6,"December 22, 2016",Type: uliec
Standard for Automatic Electrical Controls for Household and Similar Use; Part 2: Particular Requirements for Timers and Time Switches,(Ed. 2),UL,60730- 2-7,"March 21, 2014",Type: uliec
Automatic Electrical Controls - Part 2-7: Particular Requirements for Timers and Time Switches,(Ed. 3),UL,60730- 2-7,"November 16, 2020",Type: uliec
"Standard for Automatic Electrical Controls for Household and Similar Use; Part 2: Particular Requirements for Electrically Operated Water Valves, Including Mechanical Requirements",(Ed. 2),UL,60730- 2-8,"February 28, 2007",Type: uliec
"Standard for Automatic Electrical Controls - Part 2-8: Particular Requirements for Electrically Operated Water Valves, Including Mechanical Requirements",(Ed. 3),UL,60730- 2-8,"March 24, 2023",Type: ulstd
Standard for Automatic Electrical Controls For Household and Similar Use; Part 2: Particular Requirements For Temperature Sensing Controls,(Ed. 3),UL,60730- 2-9,"October 13, 2010",Type: uliec
Automatic Electrical Controls - Part 2-9: Particular Requirements for Temperature Sensing Controls,(Ed. 4),UL,60730- 2-9,"February 14, 2017",Type: uliec
Automatic Electrical Controls for Household and Similar Use; Part 2: Particular Requirements for Motor Starting Relays,(Ed. 2),UL,60730- 2-10,"November 08, 2013",Type: uliec
Automatic Electrical Controls Part 2-11: Particular Requirements for Energy Regulators,(Ed. 3),UL,60730- 2-11,"April 06, 2023",Type: uliec
Standard for Automatic Electrical Controls for Household and Similar Use; Part 2: Particular Requirements for Electrically Operated Door Locks,(Ed. 3),UL,60730- 2-12,"May 11, 2017",Type: uliec
Standard for Automatic Electrical Controls for Household and Similar Use; Part 2: Particular Requirements for Humidity Sensing Controls,(Ed. 3),UL,60730- 2-13,"February 15, 2019",Type: uliec
Automatic Electrical Controls for Household and Similar Use; Part 2: Particular Requirements for Electric Actuators,(Ed. 3),UL,60730- 2-14,"August 07, 2018",Type: uliec
"Standard for Automatic Electrical Controls for Household and Similar Use; Part 2: Particular Requirements for Automatic Electrical Air Flow, Water Flow and Water Level Sensing Controls",(Ed. 3),UL,60730- 2-15,"November 06, 2019",Type: uliec
Automatic Electrical Controls - Part 2-22: Particular Requirements for Thermal Motor Protectors,(Ed. 1),UL,60730- 2-22,"April 07, 2017",Type: uliec
Outline of Investigation for Automatic Electrical Controls - Part 2-101: Particular Requirements for Electrical Sensors and Sensing Elements,(Ed. 1),UL,60730- 2-101,"January 28, 2022",Type: outline
"Live Working -  Terminology for Tools, Equipment and Devices",(Ed. 3),ULC,60743,"May 01, 2014",Type: canulc
Hand-Held Motor-Operated Electric Tools - Safety - Part 1: General Requirements,(Ed. 4),UL,60745- 1,"July 31, 2007",Type: ulcsaiec
Hand-Held Motor-Operated Electric Tools - Safety - Part 2-1: Particular Requirements for Drills and Impact Drills,(Ed. 2),UL,60745- 2-1,"March 26, 2004",Type: ulcsaiec
Hand-Held Motor-Operated Electric Tools - Safety - Part 2-2: Particular Requirements for Screwdrivers and Impact Wrenches,(Ed. 2),UL,60745- 2-2,"March 26, 2004",Type: ulcsaiec
"Hand-Held Motor-Operated Electric Tools - Safety - Part 2-3: Particular Requirements for Grinders, Polishers and Disk-Type Sanders",(Ed. 2),UL,60745- 2-3,"May 31, 2007",Type: ulcsaiec
Hand-Held Motor-Operated Electric Tools - Safety - Part 2-4: Particular Requirements for Sanders and Polishers Other Than Disk Type,(Ed. 2),UL,60745- 2-4,"March 26, 2004",Type: ulcsaiec
Hand-Held Motor-Operated Electric Tools - Safety - Part 2-5: Particular Requirements for Circular Saws,(Ed. 5),UL,60745- 2-5,"March 20, 2012",Type: ulcsaiec
Hand-Held Motor-Operated Electric Tools - Safety - Part 2-6: Particular Requirements for Hammers,(Ed. 2),UL,60745- 2-6,"March 26, 2004",Type: ulcsaiec
Hand-Held Motor-Operated Electric Tools - Safety - Part 2-8: Particular Requirements for Shears and Nibblers,(Ed. 2),UL,60745- 2-8,"March 26, 2004",Type: ulcsaiec
Hand-Held Motor-Operated Electric Tools - Safety - Part 2-9: Particular Requirements for Tappers,(Ed. 2),UL,60745- 2-9,"March 26, 2004",Type: ulcsaiec
Hand-Held Motor-Operated Electric Tools - Safety - Part 2-11: Particular Requirements for Reciprocating Saws,(Ed. 2),UL,60745- 2-11,"March 26, 2004",Type: ulcsaiec
Hand-Held Motor-Operated Electric Tools - Safety - Part 2-12: Particular Requirements For Concrete Vibrators,(Ed. 2),UL,60745- 2-12,"March 21, 2005",Type: ulcsaiec
Hand-Held Motor-Operated Electric Tools - Safety - Part 2-13: Particular Requirements for Chain Saws,(Ed. 1),UL,60745- 2-13,"December 08, 2011",Type: ulcsaiec
Hand-Held Motor-Operated Electric Tools - Safety - Part 2-14: Particular Requirements for Planers,(Ed. 2),UL,60745- 2-14,"March 26, 2004",Type: ulcsaiec
Hand-Held Motor-Operated Electric Tools - Safety - Part 2-15: Particular Requirements for Hedge Trimmers,(Ed. 1),UL,60745- 2-15,"June 28, 2010",Type: ulcsaiec
Hand-Held Motor-Operated Electric Tools - Safety - Part 2-16: Particular Requirements for Tackers,(Ed. 1),UL,60745- 2-16,"November 18, 2009",Type: ulcsaiec
Hand-Held Motor-Operated Electric Tools - Safety - Part 2-17: Particular Requirements for Routers and Trimmers,(Ed. 3),UL,60745- 2-17,"February 25, 2011",Type: ulcsaiec
Hand-Held Motor-Operated Electric Tools - Safety - Part 2-18: Particular Requirements For Strapping Tools,(Ed. 1),UL,60745- 2-18,"March 21, 2005",Type: ulcsaiec
Hand-Held Motor-Operated Electric Tools - Safety - Part 2-19: Particular Requirements For Jointers,(Ed. 1),UL,60745- 2-19,"November 25, 2005",Type: ulcsaiec
Hand-Held Motor-Operated Electric Tools - Safety - Part 2-20: Particular Requirements For Band Saws,(Ed. 1),UL,60745- 2-20,"March 21, 2005",Type: ulcsaiec
Hand-Held Motor-Operated Electric Tools - Safety - Part 2-21: Particular Requirements For Drain Cleaners,(Ed. 1),UL,60745- 2-21,"March 21, 2005",Type: ulcsaiec
Subject 60745-2-22,(Ed. 1),UL,60745- 2-22,"July 20, 2012",Type: ulcsaiec
Hand-Held Motor-Operated electric Tools - Safety - Part 2-23: Particular Requirements for Die Grinders and Small Rotary Tools,(Ed. 1),UL,60745- 2-23,"September 20, 2013",Type: ulcsaiec
"Live working - Insulating sticks and attachable devices - Part 1: Insulating sticks
Travaux sous tension - Perches isolantes et outils adaptables - Partie 1: Perches isolantes",(Ed. 1),ULC,60832- 1,"December 01, 2010",Type: canulc
"Live working - Insulating sticks and attachable devices - Part 2: Attachable devices
Travaux sous tension - Perches isolantes et outils adaptables - Partie 2: Outils adaptables",(Ed. 1),ULC,60832- 2,"December 01, 2010",Type: canulc
